First Name,Last Name,Company Name,Role in Company,Address,Email,Phone Number
Emily,Souza,Cement mason,Lechters Housewares,"Avenida Henrique Morize, 1152",EmilyCunhaSouza@dayrep.com,(11) 3750-6892
Antônio,Cardoso,Occupational health nurse,Ole's,"Avenida Quatorze de Dezembro, 706",AntonioSilvaCardoso@armyspy.com,(11) 8570-3278
Gustavo,Correia,Guidance counselor,Jacob Reed and Sons,"Travessa do Saveiro, 1576",GustavoCastroCorreia@jourrapide.com,(71) 8334-4759
Isabella,Martins,Textile knitting and weaving machine tender,Golden's Distributors,"Rua Vertentes, 100",IsabellaMeloMartins@teleworm.us,(81) 5602-4597
Giovanna,Cardoso,Extractive metallurgical engineer,Coffey's Market,"Rua Sessenta e Quatro C, 1504",GiovannaAraujoCardoso@teleworm.us,(51) 7550-9580
Marcos,Santos,General and operations manager,Target Source,"Rua Taiaçu, 1042",MarcosCarvalhoSantos@dayrep.com,(16) 9845-5815
Luana,Barros,Design consultant,Franklin Music,"Quadra Quadra QR 302, 1851",LuanaAraujoBarros@dayrep.com,(61) 6919-4582
Kauê,Araujo,Tour escort,First Choice Garden Maintenance,"Rua José Gonçalves de Melo, 1705",KaueMeloAraujo@jourrapide.com,(83) 2713-8963
Aline,Alves,Bricklayer,Opti-Tek,"Passagem Waldemar Lopes Pereira, 631",AlineOliveiraAlves@armyspy.com,(11) 5044-8245
Nicolash,Carvalho,Videographer,Reliable Guidance,"Rua João Conrado Cruz, 476",NicolashRodriguesCarvalho@jourrapide.com,(88) 9764-9749
